"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 15:47:22 BDT 2024","Wed May 15 15:47:28 BDT 2024","6011","Orange HRM Portal Automation","Admin Login","TestRunner.AdminLoginTestRunner","TestRunner.AdminLoginTestRunner","doLogout","doLogout",""
"passed","Wed May 15 15:47:15 BDT 2024","Wed May 15 15:47:22 BDT 2024","6812","Orange HRM Portal Automation","Admin Login","TestRunner.AdminLoginTestRunner","TestRunner.AdminLoginTestRunner","doLoginWithValidCredentials","Admin can login with valid credentials",""
"passed","Wed May 15 15:47:05 BDT 2024","Wed May 15 15:47:10 BDT 2024","5312","Orange HRM Portal Automation","Admin Login","TestRunner.AdminLoginTestRunner","TestRunner.AdminLoginTestRunner","doLoginWithNoCredentials","Admin can't login without any credentials",""
"passed","Wed May 15 15:47:10 BDT 2024","Wed May 15 15:47:15 BDT 2024","4401","Orange HRM Portal Automation","Admin Login","TestRunner.AdminLoginTestRunner","TestRunner.AdminLoginTestRunner","doLoginWithInvalidCredentials","Admin can't login with wrong credentials",""
"passed","Wed May 15 15:47:52 BDT 2024","Wed May 15 15:47:59 BDT 2024","6448","Orange HRM Portal Automation","New User Login","TestRunner.UserLoginTestRunner","TestRunner.UserLoginTestRunner","doLoginByUserWithValidCredentials","User can login with valid credentials",""
"passed","Wed May 15 15:47:35 BDT 2024","Wed May 15 15:47:48 BDT 2024","13150","Orange HRM Portal Automation","Create New User","TestRunner.PIMTestRunner","TestRunner.PIMTestRunner","addEmployee","Create a new employee",""
